pmid,paragraph,abstract,label,registry,trn
27722750,7,"clinicaltrials.gov Identifiers: CRYSTAL, NCT00154102, and FIRE-3, NCT00433927.",Trial Registration,ClinicalTrials.gov,NCT00154102
27722750,7,"clinicaltrials.gov Identifiers: CRYSTAL, NCT00154102, and FIRE-3, NCT00433927.",Trial Registration,ClinicalTrials.gov,NCT00433927
27807057,1,"Percutaneous transcatheter tricuspid valve therapy is an evolving treatment option for patients with significant tricuspid regurgitation (TR) deemed too fragile for open heart surgery. The present study proposes comprehensive anatomical evaluation of the tricuspid valve, right ventricle (RV), and vena cavae and its spatial relationships with the right coronary artery (RCA) using computed tomography (CT) and investigates the implications for suitability for current technologies.",Aims,NA,NA
27807057,2,"A total of 250 patients (mean age 80 ± 7.2 years, 52.4% men) undergoing CT were divided according to the presence of moderate or severe TR (≥3+, n = 40) and less than moderate TR (<3+, n = 210). Tricuspid valve annulus, RV, and vena cavae dimensions and the course of the RCA relative to the tricuspid annulus were evaluated. Patients with TR ≥ 3+ showed significantly larger dimensions of the tricuspid annulus, RV and vena cavae. In 64.8% of patients, the RCA coursed along the tricuspid valve annulus. Patients with TR <3+ showed more frequently a course of the RCA superior to the tricuspid annulus at the levels of the anterior and the posterior tricuspid leaflet compared with their counterparts (12.4% vs. 0%, P = 0.019). A less favourable course of the RCA (≤2.0 mm distance to the annulus) for current annuloplasty techniques was observed at the level of the anterior tricuspid and posterior leaflets in respective 12.5 and 27.5% of patients with TR ≥3+.",Methods and results,NA,NA
27807057,3,The present study proposes a first systematic approach based on CT to define the patient suitability for current transcatheter tricuspid valve devices.,Conclusion,NA,NA
27914956,1,"PET/MR is an emerging hybrid imaging modality. However, attenuation correction (AC) remains challenging for hybrid PET/MR in generating accurate PET images. Segmentation-based methods on special MR sequences are most widely recommended by vendors. However, their accuracy is usually not high. Individual refinement of available certified attenuation maps may be helpful for further clinical applications. In this study, we proposed a multi-resolution regional learning (MRRL) scheme to utilize the internal consistency of the patient data. The anatomical and AC MR sequences of the same subject were employed to guide the refinement of the provided AC maps. The developed algorithm was tested on 9 patients scanned consecutively with PET/MR and PET/CT (7 [18F]FDG and 2 [18F]FET). The preliminary results showed that MRRL can improve the accuracy of segmented attenuation maps and consequently the accuracy of PET reconstructions.",NA,NA,NA
27940128,1,"Resistance to first-line chemotherapies like gemcitabine contributes to high disease lethality in pancreatic cancer. By microarray and qRT-PCR, we observed significant downregulation of microRNA-210 in gemcitabine-resistant cells. The overexpression of microRNA-210 was toxic to gemcitabine-resistant cells and enhanced gemcitabine sensitivity. MicroRNA-210 overexpression induced caspase-3-mediated apoptosis, and inhibited colony formation. Computationally, ABCC5, a highly expressed gene in our array data, was identified as a potential target of microRNA-210 and the overexpression of ABCC5 in gemcitabine-resistant cells was confirmed by qRT-PCR. MicroRNA-210 overexpression reduced ABCC5 mRNA levels and inhibited a luciferase reporter expressing the ABCC5 3' UTR. The expression pattern of microRNA-210 and ABCC5 was mirrored in all of 5 pancreatic cancer cell lines used. Likewise, microRNA-210 transfection nearly totally inhibited tumor xenograft growth, proliferation and metastasis without obvious side effects in vivo. Also, an absence or low expression of microRNA-210 correlated to high ABCC5 expression in the majority of malignant patient tissues from a total of 101 patient tissues examined. Our observations provide at first glance, an important function for microRNA-210 in regulation of gemcitabine responsiveness by it's target gene ABCC5.",NA,NA,NA
28055983,1,"Positron-emission tomography (PET) with hypoxia specific tracers provides a noninvasive method to assess the tumor oxygenation status. Reaction-diffusion models have advantages in revealing the quantitative relation between in vivo imaging and the tumor microenvironment. However, there is no quantitative comparison of the simulation results with the real PET measurements yet. The lack of experimental support hampers further applications of computational simulation models. This study aims to compare the simulation results with a preclinical [18F]FMISO PET study and to optimize the reaction-diffusion model accordingly. Nude mice with xenografted human squamous cell carcinomas (CAL33) were investigated with a 2 h dynamic [18F]FMISO PET followed by immunofluorescence staining using the hypoxia marker pimonidazole and the endothelium marker CD 31. A large data pool of tumor time-activity curves (TAC) was simulated for each mouse by feeding the arterial input function (AIF) extracted from experiments into the model with different configurations of the tumor microenvironment. A measured TAC was considered to match a simulated TAC when the difference metric was below a certain, noise-dependent threshold. As an extension to the well-established Kelly model, a flow-limited oxygen-dependent (FLOD) model was developed to improve the matching between measurements and simulations. The matching rate between the simulated TACs of the Kelly model and the mouse PET data ranged from 0 to 28.1% (on average 9.8%). By modifying the Kelly model to an FLOD model, the matching rate between the simulation and the PET measurements could be improved to 41.2-84.8% (on average 64.4%). Using a simulation data pool and a matching strategy, we were able to compare the simulated temporal course of dynamic PET with in vivo measurements. By modifying the Kelly model to a FLOD model, the computational simulation was able to approach the dynamic [18F]FMISO measurements in the investigated tumors.",NA,NA,NA
28076434,1,"Women with diabetes have a worse survival after breast cancer diagnosis compared to women without diabetes. This may be due to a different etiological profile, leading to the development of more aggressive breast cancer subtypes. Our aim was to investigate whether insulin and non-insulin treated women with diabetes develop specific clinicopathological breast cancer subtypes compared to women without diabetes.",BACKGROUND,NA,NA
28076434,2,"This cross-sectional study included randomly selected patients with invasive breast cancer diagnosed in 2000-2010. Stratified by age at breast cancer diagnosis (≤50 and >50 years), women with diabetes were 2:1 frequency-matched on year of birth and age at breast cancer diagnosis (both in 10-year categories) to women without diabetes, to select ~300 patients with tumor tissue available. Tumor MicroArrays were stained by immunohistochemistry for estrogen and progesterone receptor (ER, PR), HER2, Ki67, CK5/6, CK14, and p63. A pathologist scored all stains and revised morphology and grade. Associations between diabetes/insulin treatment and clinicopathological subtypes were analyzed using multivariable logistic regression. Morphology and grade were not significantly different between women with diabetes (n = 211) and women without diabetes (n = 101), irrespective of menopausal status. Premenopausal women with diabetes tended to have more often PR-negative (OR = 2.44(95%CI:1.07-5.55)), HER2-negative (OR = 2.84(95%CI:1.11-7.22)), and basal-like (OR = 3.14(95%CI:1.03-9.60) tumors than the women without diabetes, with non-significantly increased frequencies of ER-negative (OR = 2.48(95%CI:0.95-6.45)) and triple negative (OR = 2.60(95%CI:0.88-7.67) tumors. After adjustment for age and BMI, the associations remained similar in size but less significant. We observed no evidence for associations of clinicopathological subtypes with diabetes in postmenopausal women, or with insulin treatment in general.",METHODS AND FINDINGS,NA,NA
28076434,3,"We found no compelling evidence that women with diabetes, treated with or without insulin, develop different breast cancer subtypes than women without diabetes. However, premenopausal women with diabetes tended to develop breast tumors that do not express hormonal receptors, which are typically associated with poor prognosis.",CONCLUSIONS,NA,NA
28137273,1,"Cancer stem cells are suggested to contribute to the extremely poor prognosis of pancreatic ductal adenocarcinoma and dysregulation of symmetric and asymmetric stem cell division may be involved. Anticancer benefits of phytochemicals like the polyphenol quercetin, present in many fruits, nuts and vegetables, could be expedited by microRNAs, which orchestrate cell-fate decisions and tissue homeostasis. The mechanisms regulating the division mode of cancer stem cells in relation to phytochemical-induced microRNAs are poorly understood.",BACKGROUND,NA,NA
28137273,2,"Patient-derived pancreas tissue and 3 established pancreatic cancer cell lines were examined by immunofluorescence and time-lapse microscopy, microRNA microarray analysis, bioinformatics and computational analysis, qRT-PCR, Western blot analysis, self-renewal and differentiation assays.",METHODS,NA,NA
28137273,3,"We show that symmetric and asymmetric division occurred in patient tissues and in vitro, whereas symmetric divisions were more extensive. By microarray analysis, bioinformatics prediction and qRT-PCR, we identified and validated quercetin-induced microRNAs involved in Notch signaling/cell-fate determination. Further computational analysis distinguished miR-200b-3p as strong candidate for cell-fate determinant. Mechanistically, miR-200b-3p switched symmetric to asymmetric cell division by reversing the Notch/Numb ratio, inhibition of the self-renewal and activation of the potential to differentiate to adipocytes, osteocytes and chondrocytes. Low miR-200b-3p levels fostered Notch signaling and promoted daughter cells to become symmetric while high miR-200b-3p levels lessened Notch signaling and promoted daughter cells to become asymmetric.",RESULTS,NA,NA
28137273,4,"Our findings provide a better understanding of the cross talk between phytochemicals, microRNAs and Notch signaling in the regulation of self-renewing cancer stem cell divisions.",CONCLUSIONS,NA,NA
28229932,1,"The COP9 signalosome (CSN) is a multi-protein complex that is highly conserved in eukaryotes. Due to its regulatory impact on processes such as cell cycle, DNA damage response and apoptosis, the CSN is essential for mammalian cells. One of the best-studied functions of the CSN is the deNEDDylation of cullin-RING ligases (CRLs) via its catalytically active subunit CSN5/JAB1, thereby triggering the degradation of various target proteins. CSN5 was found to be overexpressed in many human cancer entities, including colon adenocarcinoma. Overactivation of WNT signaling is known as a key step in colon cancer development. Recently, we found that depletion of CSN5 in colorectal cancer (CRC) cells affects WNT signaling by downregulation of β-catenin. To investigate changes in gene expression associated with the CSN5 knockdown, we performed a microarray using cDNA from the CRC cell line SW480. We found the WNT ligand WNT6 and the WNT inhibitors DKK1 and DKK4 differentially regulated in CSN5 knockdown cells. DKK1 expression and DKK1 protein levels depended on CSN5 in different CRC cell lines. In addition, DKK1 secretion was increased following CSN5 knockdown, affecting WNT signaling in SW480 cells. Consequently, blocking of secreted DKK1 in cell-conditioned media abolished β-catenin downregulation in SW480 cells, while treatment with recombinant DKK1 mimicked the CSN5 knockdown effect. Furthermore, knockdown of DKK1 was able to rescue the proliferative deficiency of CSN5 knockdown cells. We conclude that downregulation of WNT signaling in colorectal cancer cells resulting from CSN5 knockdown is mediated, at least in part, by elevated DKK1 secretion. Moreover, experiments with the NEDDylation inhibitor MLN-4924 indicated that DKK1 expression is regulated by a so far unidentified repressor, the stability of which could be controlled by a CSN-regulated CRL.",NA,NA,NA
28258747,1,"Endometriosis is a gynecological disorder affecting 6%-10% of all women in their reproductive age. There is an emerging view in the literature that psychological trauma plays a central role in the pathogenesis of pelvic pain, one of the core symptoms of endometriosis. Here we report central nervous system mechanisms of a novel combination of psychotherapy and somatosensory stimulation that has recently shown remarkable effects in reducing pain, anxiety, and depressive symptoms in these patients.",BACKGROUND,NA,NA
28258747,2,"We conducted a randomized controlled trial; 67 patients with severe endometriosis-associated pain (maximum pain: 7.6 ± 2.0, average pain: 4.5 ± 2.0 on a 10-point numeric rating scale) were included in the study and randomly allocated to intervention (35 patients) or waitlist control (32 patients) groups. Resting-state functional magnetic resonance imaging was used to assess brain connectivity of these patients at baseline, after 3 months of therapy, and after 6 months. The analysis focused on the hippocampus.",METHODS,NA,NA
28258747,3,"We identified a cortical network comprising the right anterolateral hippocampus-a region modulating the hypothalamic-pituitary-adrenal axis-and somatosensory, viscerosensory, and interoceptive brain regions. Regression analysis showed that reduction in connectivity predicted therapy-induced improvement in patients׳ anxiety.",RESULTS,NA,NA
28258747,4,We have identified a putative neurobiological mechanism underlying the potent combination of psychotherapy and somatic stimulation in treating symptoms of endometriosis.,CONCLUSIONS,NA,NA
28271514,1,The 15-item Myasthenia Gravis Quality of Life (MG-QOL15) scale has been developed to assess the health-related quality of life of patients with myasthenia gravis (MG). The aim of this study was to translate the original English version into Dutch and to test the test-retest reliability and construct validity.,INTRODUCTION,NA,NA
28271514,2,Fifty patients with MG were included. Test-retest reliability and internal consistency were assessed using the intraclass correlation coefficient (ICC) and the Cronbach α. Construct validity was assessed by testing 5 predefined hypotheses.,METHODS,NA,NA
28271514,3,"A good test-retest reliability was confirmed with an ICC of 0.866. The Cronbach α was 0.93. The predefined hypotheses were confirmed in 80% of cases, which points to good construct validity.",RESULTS,NA,NA
28271514,4,"The Dutch MG-QOL15 has good test-retest reliability and good construct validity. It can be used for research in a Dutch-speaking population. It is also suitable for monitoring individual patients in clinical practice. Muscle Nerve 57: 206-211, 2018.",DISCUSSION,NA,NA
28292897,1,"Constitutive photomorphogenesis 9 (COP9) signalosome 5 (CSN5), an isopeptidase that removes neural precursor cell-expressed, developmentally down-regulated 8 (NEDD8) moieties from cullins (thus termed ""deNEDDylase"") and a subunit of the cullin-RING E3 ligase-regulating COP9 signalosome complex, attenuates proinflammatory NF-κB signaling. We previously showed that CSN5 is up-regulated in human atherosclerotic arteries. Here, we investigated the role of CSN5 in atherogenesis in vivo by using mice with myeloid-specific Csn5 deletion. Genetic deletion of Csn5 in Apoe-/- mice markedly exacerbated atherosclerotic lesion formation. This was broadly observed in aortic root, arch, and total aorta of male mice, whereas the effect was less pronounced and site-specific in females. Mechanistically, Csn5 KO potentiated NF-κB signaling and proinflammatory cytokine expression in macrophages, whereas HIF-1α levels were reduced. Inversely, inhibition of NEDDylation by MLN4924 blocked proinflammatory gene expression and NF-κB activation while enhancing HIF-1α levels and the expression of M2 marker Arginase 1 in inflammatory-elicited macrophages. MLN4924 further attenuated the expression of chemokines and adhesion molecules in endothelial cells and reduced NF-κB activation and monocyte arrest on activated endothelium in vitro. In vivo, MLN4924 reduced LPS-induced inflammation, favored an antiinflammatory macrophage phenotype, and decreased the progression of early atherosclerotic lesions in mice. On the contrary, MLN4924 treatment increased neutrophil and monocyte counts in blood and had no net effect on the progression of more advanced lesions. Our data show that CSN5 is atheroprotective. We conclude that MLN4924 may be useful in preventing early atherogenesis, whereas selectively promoting CSN5-mediated deNEDDylation may be beneficial in all stages of atherosclerosis.",NA,NA,NA
28522446,1,"Infection of implants is a major problem in elective and trauma surgery. Heating is an effective way to reduce the bacterial load in food preparation, and studies on hyperthermia treatment for cancer have shown that it is possible to heat metal objects with pulsed electromagnetic fields selectively (PEMF), also known as induction heating. We therefore set out to answer the following research question: is non-contact induction heating of metallic implants effective in reducing bacterial load in vitro?",OBJECTIVES,NA,NA
28522446,2,"Titanium alloy cylinders (Ti6Al4V) were exposed to PEMF from an induction heater with maximum 2000 watts at 27 kHz after being contaminated with five different types of micro-organisms: Staphylococcus epidermidis; Staphylococcus aureus; Pseudomonas aeruginosa; spore-forming Bacillus cereus; and yeast Candida albicans. The cylinders were exposed to incremental target temperatures (35°C, 45°C, 50°C, 55°C, 60°C, 65°C, 70°C) for up to 3.5 minutes.",METHODS,NA,NA
28522446,3,"There was an average linear heating rate of 0.39°C per second up to the target temperature, and thereafter the target temperature was maintained until the end of the experiment. At 60°C and higher (duration 3.5 minutes), there was a 6-log reduction or higher for every micro-organism tested. At 60°C, we found that the shortest duration of effective induction heating was 1.5 minutes. This resulted in a 5-log reduction or higher for every micro-organism tested.",RESULTS,NA,NA
28522446,4,"Non-contact induction heating of a titanium disk is effective in reducing bacterial load in vitro. These promising results can be further explored as a new treatment modality for infections of metal orthopaedic implants.Cite this article: B. G. Pijls, I. M. J. G. Sanders, E. J. Kuijper, R. G. H. H. Nelissen. Non-contact electromagnetic induction heating for eradicating bacteria and yeasts on biomaterials and possible relevance to orthopaedic implant infections: In vitro findings. Bone Joint Res 2017;6:323-330. DOI: 10.1302/2046-3758.65.BJR-2016-0308.R1.",CONCLUSION,NA,NA
28592626,1,"Although rheumatoid arthritis (RA) is a chronic, persistent autoimmune disease, 10 to 15% of RA patients achieve sustained disease-modifying antirheumatic drug (DMARD)-free remission over time. The biological mechanisms underlying the resolution of persistent inflammation in RA are still unidentified, and there is a lack of prognostic markers. It is well established that increased serum levels of gamma interferon-induced protein 10 (IP-10) are associated with (acute) increased inflammatory responses (e.g., in leprosy). In order to assess the potential of IP-10 as a diagnostic tool for inflammatory episodes of RA, we performed a retrospective study and assessed IP-10 levels in longitudinally banked serum samples obtained from patients upon first diagnosis of RA. The selection consisted of 15 persistent RA patients and 19 patients who achieved DMARD-free sustained remission. IP-10 levels, measured by use of a user-friendly quantitative lateral flow assay (LFA), showed up to 170-fold variation interindividually, and baseline IP-10 levels could not be differentiated between the two patient groups. However, a difference in the change in IP-10 levels between the first and last visits (ΔIP-10) was observed (P = 0.003) between DMARD-free (median ΔIP-10, -662 pg/ml [decrease]) and persistent (median ΔIP-10, 468 pg/ml [increase]) RA patients. Moreover, intraindividual changes in IP-10 levels during the course of disease corresponded to the disease activity score (DAS) (P = 0.05). These data indicate that IP-10 is associated with disease activity and perseverance of RA. The association of IP-10 with DAS indicates that this tool may be a practical diagnostic aid to help in monitoring disease progression in RA patients and may also find applications in other chronic diseases with exacerbated inflammatory episodes.",NA,NA,NA
28612020,1,"Few studies report the incidence of metastatic patterns in colorectal cancer. Furthermore, little is known about dynamic aspects of these metastases during the course of disease.",BACKGROUND,NA,NA
28612020,2,"This retrospective cohort study involved 385 patients who received anti-tumor treatment at our institution (Department of Medical Oncology, University Hospital Grosshadern, Ludwig-Maximilians-University Munich, Germany) for metastatic colorectal adenocarcinoma between 2007 and 2014. We reviewed all available imaging results of these patients to document the presence and detailed localization of metastases.",METHODS,NA,NA
28612020,3,"Most of the evaluated patients were initially diagnosed with metastases in the liver (70%), followed by the lungs (24%), distant lymph nodes (16%), and peritoneum (15%), besides rare anatomical sites (<5%). Colon and rectal cancer as well as synchronous and metachronous metastases differed with regard to the pattern of individual metastatic sites. The median time to first progressive disease (PD) with new metastases was 12.6 months. The time intervals between first and second as well as second and third PD with new metastases were comparable with 10.5 and 10.8 months, respectively. At initial diagnosis, the mean number of metastatic sites was 1.4 and increased to 2.6 at the third PD with new metastases. For patients with initially one metastatic site, the mean number increased to 2.2.",RESULTS,NA,NA
28612020,4,"The present analysis provides detailed information on the pattern and evolution of colorectal cancer metastases over time. Thus, it may establish the basis for prospective future research in this field.",CONCLUSION,NA,NA
28661798,1,"Despite significant financial, training, and program investments, US children's caries experience and inequities continued to increase over the last 20 years. We posit that (1) dental insurance payment systems are not aligned with the current best evidence, exacerbating inequities, and (2) system redesign could meet health care's triple aim and reduce children's caries by 80%. On the basis of 2013 to 2016 Medicaid and private payment rates and the caries prevention literature, we find that effective preventive interventions are either (1) consistently compensated less than ineffective interventions or (2) not compensated at all. This economic and clinical misalignment may account for underuse of effective caries prevention and subsequent overuse of restorative care. We propose universal school-based comprehensive caries prevention to address this misalignment. Preliminary modeling suggests that universal caries prevention could eliminate 80% of children's caries and cost less than one fifth of current Medicaid children's oral health spending. If implemented with bundled payments based on cycle of care and measurable outcomes, there would be an alignment of incentives, best evidence, care, and outcomes. Such a program would meet the Healthy People Oral Health goals for children, as well as health care's triple aim.",NA,NA,NA
28771001,1,"Wheat gluten confers superior baking quality to wheat based products but elicits a pro-inflammatory immune response in patients with celiac disease. Transamidation of gluten by microbial transglutaminase (mTG) and tissue transglutaminase (tTG) reduces the immunogenicity of gluten; however, little information is available on the minimal modification sufficient to eliminate gliadin immunogenicity nor has the effectiveness of transamidation been studied with T-cell clones from patients. Here we demonstrate that mTG can efficiently couple three different acyl-acceptor molecules, l-lysine, glycine ethyl ester, and hydroxylamine, to gliadin peptides and protein. While all three acyl-acceptor molecules were cross-linked to the same Q-residues, not all modifications were equally effective in silencing T-cell reactivity. Finally, we observed that tTG can partially reverse the mTG-catalyzed transamidation by its isopeptidase activity. These results set the stage to determine the impact of these modifications on the baking quality of gluten proteins and in vivo immunogenicity of such food products.",NA,NA,NA
28827673,1,"Early detection of leprosy is key to reduce the ongoing transmission. Antibodies directed against M. leprae PGL-I represent a useful biomarker for detecting multibacillary (MB) patients. Since efficient leprosy diagnosis requires field-friendly test conditions, we evaluated two rapid lateral flow assays (LFA) for detection of Mycobacterium leprae-specific antibodies: the visual immunogold OnSite Leprosy Ab Rapid test [Gold-LFA] and the quantitative, luminescent up-converting phosphor anti-PGL-I test [UCP-LFA]. Test performance was assessed in independent cohorts originating from three endemic areas. In the Philippine cohort comprising patients with high bacillary indices (BI; average:4,9), 94%(n = 161) of MB patients were identified by UCP-LFA and 78%(n = 133) by Gold-LFA. In the Bangladeshi cohort, including mainly MB patients with low BI (average:1), 41%(n = 14) and 44%(n = 15) were detected by UCP-LFA and Gold-LFA, respectively. In the third cohort of schoolchildren from a leprosy hyperendemic region in Brazil, both tests detected 28%(n = 17) seropositivity. Both rapid tests corresponded well with BI(p < 0.0001), with a fairly higher sensitivity obtained with the UCP-LFA assay. However, due to the spectral character of leprosy, additional, cellular biomarkers are required to detect patients with low BIs. Therefore, the UCP-LFA platform, which allows multiplexing with differential biomarkers, offers more cutting-edge potential for diagnosis across the whole leprosy spectrum.",NA,NA,NA
28976912,1,"MADPET4 is the first small animal PET insert with two layers of individually read out crystals in combination with silicon photomultiplier technology. It has a novel detector arrangement, in which all crystals face the center of field of view transaxially. In this work, the PET performance of MADPET4 was evaluated and compared to other preclinical PET scanners using the NEMA NU 4 measurements, followed by imaging a mouse-size hot-rod resolution phantom and two in vivo simultaneous PET/MRI scans in a 7 T MRI scanner. The insert had a peak sensitivity of 0.49%, using an energy threshold of 350 keV. A uniform transaxial resolution was obtained up to 15 mm radial offset from the axial center, using filtered back-projection with single-slice rebinning. The measured average radial and tangential resolutions (FWHM) were 1.38 mm and 1.39 mm, respectively. The 1.2 mm rods were separable in the hot-rod phantom using an iterative image reconstruction algorithm. The scatter fraction was 7.3% and peak noise equivalent count rate was 15.5 kcps at 65.1 MBq of activity. The FDG uptake in a mouse heart and brain were visible in the two in vivo simultaneous PET/MRI scans without applying image corrections. In conclusion, the insert demonstrated a good overall performance and can be used for small animal multi-modal research applications.",NA,NA,NA
28981109,1,"Glucocorticoids such as dexamethasone are widely co-prescribed with cytotoxic therapy because of their proapoptotic effects in lymphoid cancer, reduction of inflammation and edema and additional benefits. Concerns about glucocorticoid-induced therapy resistance, enhanced metastasis and reduced survival of patients are largely not considered. We analyzed dexamethasone-induced tumor progression in three established and one primary human pancreatic ductal adenocarcinoma (PDA) cell lines and in PDA tissue from patients and xenografts by FACS and western blot analysis, immunohistochemistry, MTT and wound assay, colony and spheroid formation, EMSA and in vivo tumor growth and metastasis of tumor xenografts on chicken eggs and mice. Dexamethasone in concentrations observed in plasma of patients favored epithelial-mesenchymal transition, self-renewal potential and cancer progression. Ras/JNK signaling, enhanced expression of TGFβ, vimentin, Notch-1 and SOX-2 and the inhibition of E-cadherin occurred. This was confirmed in patient and xenograft tissue, where dexamethasone induced tumor proliferation, gemcitabine resistance and metastasis. Inhibition of each TGFβ receptor-I, glucocorticoid receptor or JNK signaling partially reversed the dexamethasone-mediated effects, suggesting a complex signaling network. These data reveal that dexamethasone mediates progression by membrane effects and binding to glucocorticoid receptor.",NA,NA,NA
29047142,1,"In metastatic colorectal cancer (mCRC), liver-limited disease (LLD) is associated with a higher chance of metastectomy leading to long-term survival. However, limited data describes the prognostic and predictive relevance of initially unresectable LLD with regard to targeted first-line therapy. The present analysis investigated the relevance of initially unresectable LLD in mCRC patients treated with targeted therapy against either the epidermal growth factor receptor (EGFR) or vascular epithelial growth factor (VEGF). The analysis was performed based on FIRE-3, a randomized phase III trial comparing first-line chemotherapy with FOLFIRI plus either cetuximab (anti-EGFR) or bevacizumab (anti-VEGF) in RAS wild-type (WT) mCRC. Of 400 patients, 133 (33.3%) had LLD and 267 (66.8%) had non-LLD. Median overall survival (OS) was significantly longer in LLD compared to non-LLD patients (36.0 vs. 25.4 months; hazard ratio [HR] = 0.66; 95% confidence interval [CI]: 0.51-0.87; p = 0.002). In a multivariate analysis also including secondary hepatic resection as time-dependent variable, LLD status was independently prognostic for OS (HR = 0.67; 95% CI: 0.50-0.91; p = 0.01). As assessed by interaction tests, treatment benefit from FOLFIRI plus cetuximab compared to FOLFIRI plus bevacizumab was independent of LLD status with regard to objective response rate (ORR), early tumour shrinkage ≥20% (ETS), depth of response (DpR) and OS (all p > 0.05). In conclusion, LLD could be identified as a prognostic factor in RAS-WT mCRC, which was independent of hepatic resection in patients treated with targeted therapy. LLD had no predictive relevance since benefit from FOLFIRI plus cetuximab over bevacizumab was independent of LLD status.",NA,NA,NA
